club_id,club_code,name,domestic_competition_id,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name
10004,paris-fc,Paris Football Club,FR1,31,28.5,17,54.8,9,Stade Jean Bouin,19904,€-72.30m,
1041,olympique-lyon,Olympique Lyonnais,FR1,28,25.5,23,82.1,11,Groupama Stadium,59186,+€62.11m,
1082,losc-lille,Lille Olympique Sporting Club,FR1,27,26.5,18,66.7,11,Decathlon Arena-Stade Pierre-Mauroy,50186,+€61.60m,
1095,es-troyes-ac,ESTAC Troyes,FR1,29,23.1,16,57.1,5,Stade de l'Aube,21877,+-0,
1147,ac-ajaccio,AC Ajaccio,FR1,24,27.5,11,45.8,6,Stade François-Coty,10446,+-0,
1158,fc-lorient,Football Club Lorient-Bretagne Sud,FR1,25,25.9,18,72.0,8,Stade du Moustoir,16787,+€600k,
1159,as-nancy-lorraine,AS Nancy-Lorraine,FR1,27,25.7,5,18.5,0,Stade Marcel-Picot,20087,+-0,
1160,nimes-olympique,Nîmes Olympique,FR1,26,25.4,12,46.2,3,Stade des Antonins,8033,+€2.50m,
1162,sm-caen,SM Caen,FR1,27,25.7,12,44.4,4,Stade Michel-d'Ornano,20500,+€3.05m,
1416,amiens-sc,Amiens SC,FR1,24,24.1,10,41.7,7,Stade Crédit Agricole la Licorne,12999,+€700k,
14171,thonon-evian-grand-geneve-fc,Thonon Évian Grand Genève FC,FR1,27,27.4,6,22.2,1,Stade Camille Fournier,2500,+-0,
1420,sco-angers,Angers Sporting Club de l'Ouest,FR1,24,25.7,13,54.2,5,Stade Raymond-Kopa,19350,+€20.25m,
1421,stade-reims,Stade Reims,FR1,24,23.9,19,79.2,7,Stade Auguste-Delaune,20519,+€81.98m,
1423,fc-valenciennes,Valenciennes FC,FR1,30,23.6,15,50.0,5,Stade du Hainaut,25000,+€2.52m,
162,as-monaco,Association sportive de Monaco Football Club,FR1,28,25.7,28,100.0,15,Stade Louis-II,18525,+€135.57m,
244,olympique-marseille,Olympique de Marseille,FR1,24,27.0,22,91.7,14,Orange Vélodrome,67394,+€20.55m,
273,fc-stade-rennes,Stade Rennais Football Club,FR1,23,25.4,10,43.5,9,Roazhon Park,29778,+€50.15m,
290,aj-auxerre,Association de la Jeunesse auxerroise,FR1,29,24.1,14,48.3,8,Stade de l'Abbé-Deschamps,18541,+€14.65m,
2969,dijon-fco,Dijon FCO,FR1,29,25.8,14,48.3,4,Stade Gaston-Gérard,16098,+€1.50m,
347,fc-metz,Football Club de Metz,FR1,28,25.7,20,71.4,6,Stade Saint-Symphorien,28786,+€25.85m,
3524,clermont-foot-63,Clermont Foot 63,FR1,30,23.9,18,60.0,5,Stade Gabriel-Montpied,10800,+€4.00m,
3558,gfc-ajaccio,GFC Ajaccio,FR1,5,26.8,1,20.0,1,Stade Ange-Casanova,4050,+-0,
3911,stade-brest-29,Stade brestois 29,FR1,23,25.3,11,47.8,6,Stade Francis-Le Blé,15220,+€23.70m,
40,fc-girondins-bordeaux,FC Girondins Bordeaux,FR1,26,22.7,13,50.0,6,Matmut Atlantique,42115,+€12.70m,
415,fc-toulouse,Toulouse Football Club,FR1,24,24.0,17,70.8,7,Stadium Municipal,33150,+€31.85m,
417,ogc-nizza,Olympique Gymnaste Club Nice Côte d'Azur,FR1,28,25.9,17,60.7,13,Allianz Riviera,36178,+€72.82m,
583,fc-paris-saint-germain,Paris Saint-Germain Football Club,FR1,24,24.0,16,66.7,20,Parc des Princes,48583,€-47.20m,
595,sc-bastia,SC Bastia,FR1,25,27.6,8,32.0,6,Stade Armand-Cesari,16480,+€480k,
618,as-saint-etienne,AS Saint-Étienne,FR1,29,24.0,16,55.2,6,Stade Geoffroy-Guichard,41965,€-22.05m,
667,rc-strassburg-alsace,Racing Club de Strasbourg Alsace,FR1,25,22.8,21,84.0,11,Stade de la Meinau,26109,€-26.30m,
738,ac-le-havre,Le Havre Athletic Club,FR1,27,25.5,15,55.6,8,Stade Océane,25178,+€1.00m,
750,fc-sochaux-montbeliard,FC Sochaux-Montbéliard,FR1,29,23.0,9,31.0,1,Stade Auguste-Bonal,20005,+€6.30m,
826,rc-lens,Racing Club de Lens,FR1,28,26.6,9,32.1,10,Stade Bollaert-Delelis,38223,+€45.60m,
855,ea-guingamp,EA Guingamp,FR1,27,25.4,7,25.9,1,Stade du Roudourou,18120,+€3.70m,
969,montpellier-hsc,Montpellier HSC,FR1,24,24.2,11,45.8,3,Stade de la Mosson,22000,+€4.30m,
995,fc-nantes,Football Club de Nantes,FR1,28,27.0,13,46.4,7,Stade de la Beaujoire,35322,+€32.00m,
