game_id,date,home_club_id,away_club_id,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,home_club_name,away_club_name,competition_type
4635006,2025-08-15,273,244,Habib Beye,Roberto De Zerbi,Roazhon Park,28360.0,Jérémie Pignard,Stade Rennais Football Club,Olympique de Marseille,domestic_league
4635007,2025-08-16,826,1041,Pierre Sage,Paulo Fonseca,Stade Bollaert-Delelis,38137.0,Romain Lissorgue,Racing Club de Lens,Olympique Lyonnais,domestic_league
4635008,2025-08-16,417,415,Franck Haise,Carles Martínez,Allianz Riviera,23212.0,Thomas Léonard,Olympique Gymnaste Club Nice Côte d'Azur,Toulouse Football Club,domestic_league
4635009,2025-08-17,290,1158,Christophe Pélissier,Olivier Pantaloni,Stade de l'Abbé-Deschamps,16090.0,Abdelatif Kherradji,Association de la Jeunesse auxerroise,Football Club Lorient-Bretagne Sud,domestic_league
4635010,2025-08-17,3911,1082,Éric Roy,Bruno Génésio,Stade Francis-Le Blé,14840.0,Clément Turpin,Stade brestois 29,Lille Olympique Sporting Club,domestic_league
4635011,2025-08-17,1420,10004,Alexandre Dujeux,Stéphane Gilli,Stade Raymond-Kopa,12168.0,François Letexier,Angers Sporting Club de l'Ouest,Paris Football Club,domestic_league
4635012,2025-08-17,347,667,Stéphane Le Mignan,Liam Rosenior,Stade Saint-Symphorien,25009.0,Mathieu Vernice,Football Club de Metz,Racing Club de Strasbourg Alsace,domestic_league
4635013,2025-08-16,162,738,Adi Hütter,Didier Digard,Stade Louis-II,11734.0,Ruddy Buquet,Association sportive de Monaco Football Club,Le Havre Athletic Club,domestic_league
4635014,2025-08-17,995,583,Luís Castro,Luis Enrique,Stade de la Beaujoire,34053.0,Benoît Bastien,Football Club de Nantes,Paris Saint-Germain Football Club,domestic_league
4635015,2025-08-23,244,10004,Roberto De Zerbi,Stéphane Gilli,Orange Vélodrome,64074.0,Marc Bollengier,Olympique de Marseille,Paris Football Club,domestic_league
4635016,2025-08-24,1082,162,Bruno Génésio,Adi Hütter,Decathlon Arena-Stade Pierre-Mauroy,43549.0,Willy Delajod,Lille Olympique Sporting Club,Association sportive de Monaco Football Club,domestic_league
4635017,2025-08-24,738,826,Didier Digard,Pierre Sage,Stade Océane,19375.0,Guillaume Paradis,Le Havre Athletic Club,Racing Club de Lens,domestic_league
4635018,2025-08-24,1158,273,Olivier Pantaloni,Habib Beye,Stade du Moustoir,12343.0,Jérôme Brisard,Football Club Lorient-Bretagne Sud,Stade Rennais Football Club,domestic_league
4635019,2025-08-23,417,290,Franck Haise,Christophe Pélissier,Allianz Riviera,22175.0,Jérémy Stinat,Olympique Gymnaste Club Nice Côte d'Azur,Association de la Jeunesse auxerroise,domestic_league
4635020,2025-08-24,415,3911,Carles Martínez,Éric Roy,Stadium Municipal,23158.0,Benoît Millot,Toulouse Football Club,Stade brestois 29,domestic_league
4635021,2025-08-23,1041,347,Paulo Fonseca,Stéphane Le Mignan,Groupama Stadium,49853.0,Eric Wattellier,Olympique Lyonnais,Football Club de Metz,domestic_league
4635022,2025-08-24,667,995,Liam Rosenior,Luís Castro,Stade de la Meinau,22468.0,Bastien Dechepy,Racing Club de Strasbourg Alsace,Football Club de Nantes,domestic_league
4635023,2025-08-22,583,1420,Luis Enrique,Alexandre Dujeux,Parc des Princes,47401.0,Hakim Ben El Hadj,Paris Saint-Germain Football Club,Angers Sporting Club de l'Ouest,domestic_league
4635024,2025-08-30,415,583,Carles Martínez,Luis Enrique,Stadium Municipal,31515.0,Eric Wattellier,Toulouse Football Club,Paris Saint-Germain Football Club,domestic_league
4635025,2025-08-31,162,667,Adi Hütter,Liam Rosenior,Stade Louis-II,8718.0,Benoît Bastien,Association sportive de Monaco Football Club,Racing Club de Strasbourg Alsace,domestic_league
