,game_id,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,home_club_formation,away_club_formation,home_club_name,away_club_name,aggregate,competition_type,results
523,2223841,2012,6. Matchday,2012-09-22,3911,1423,2,1,8.0,9.0,Landry Chauvin,Daniel Sanchez,Stade Francis-Le Blé,10627.0,Sébastien Moreira,,,Stade brestois 29,Valenciennes FC,2:1,domestic_league,1
524,2223842,2012,7. Matchday,2012-09-29,1147,3911,1,0,9.0,10.0,Alex Dupont,Landry Chauvin,Stade François-Coty,6029.0,Olivier Thual,,,AC Ajaccio,Stade brestois 29,1:0,domestic_league,1
525,2223843,2012,6. Matchday,2012-09-22,1421,1159,2,0,5.0,19.0,Hubert Fournier,Jean Fernandez,Stade Auguste-Delaune,13413.0,Jean-Charles Cailleux,,,Stade Reims,AS Nancy-Lorraine,2:0,domestic_league,1
526,2223844,2012,6. Matchday,2012-09-21,969,618,1,1,16.0,10.0,René Girard,Christophe Galtier,Stade de la Mosson,16666.0,Lionel Jaffredo,,,Montpellier HSC,AS Saint-Étienne,1:1,domestic_league,0
527,2223845,2012,6. Matchday,2012-09-23,1082,1041,1,1,12.0,2.0,Rudi Garcia,Rémi Garde,Decathlon Arena-Stade Pierre-Mauroy,43475.0,Clément Turpin,,,Lille Olympique Sporting Club,Olympique Lyonnais,1:1,domestic_league,0
528,2223846,2012,6. Matchday,2012-09-22,415,273,2,2,7.0,18.0,Alain Casanova,Frédéric Antonetti,Stadium Municipal,13022.0,Wilfried Bien,,,Toulouse Football Club,Stade Rennais Football Club,2:2,domestic_league,0
529,2223847,2012,6. Matchday,2012-09-22,595,583,0,4,15.0,3.0,Frédéric Hantz,Carlo Ancelotti,Stade Armand-Cesari,16054.0,Said Ennjimi,,,SC Bastia,Paris Saint-Germain Football Club,0:4,domestic_league,-1
530,2223848,2012,6. Matchday,2012-09-22,1158,417,1,1,4.0,11.0,Christian Gourcuff,Claude Puel,Stade du Moustoir,14873.0,Amaury Delerue,,,Football Club Lorient-Bretagne Sud,Olympique Gymnaste Club Nice Côte d'Azur,1:1,domestic_league,0
531,2223849,2012,6. Matchday,2012-09-23,244,14171,1,0,1.0,17.0,Élie Baup,Pascal Dupraz,Orange Vélodrome,33774.0,Nicolas Rainville,,,Olympique de Marseille,Thonon Évian Grand Genève FC,1:0,domestic_league,1
532,2223850,2012,6. Matchday,2012-09-22,750,1095,3,1,14.0,20.0,Eric Hély,Jean-Marc Furlan,Stade Auguste-Bonal,12813.0,Philippe Kalt,,,FC Sochaux-Montbéliard,ESTAC Troyes,3:1,domestic_league,1
533,2223851,2012,6. Matchday,2012-09-23,40,1147,2,2,6.0,13.0,Francis Gillot,Alex Dupont,Matmut Atlantique,16295.0,Antony Gautier,,,FC Girondins Bordeaux,AC Ajaccio,2:2,domestic_league,0
534,2223852,2012,5. Matchday,2012-09-15,1423,40,0,0,6.0,5.0,Daniel Sanchez,Francis Gillot,Stade du Hainaut,15073.0,Lionel Jaffredo,,,Valenciennes FC,FC Girondins Bordeaux,0:0,domestic_league,0
535,2223853,2012,5. Matchday,2012-09-14,583,415,2,0,4.0,7.0,Carlo Ancelotti,Alain Casanova,Parc des Princes,43224.0,Alexandre Castro,,,Paris Saint-Germain Football Club,Toulouse Football Club,2:0,domestic_league,1
536,2223854,2012,5. Matchday,2012-09-16,1041,1147,2,0,2.0,14.0,Rémi Garde,Alex Dupont,Stade de Gerland,25666.0,Bartolomeu Varela,,,Olympique Lyonnais,AC Ajaccio,2:0,domestic_league,1
537,2223855,2012,5. Matchday,2012-09-14,1421,969,3,1,8.0,16.0,Hubert Fournier,René Girard,Stade Auguste-Delaune,15835.0,Tony Chapron,,,Stade Reims,Montpellier HSC,3:1,domestic_league,1
538,2223856,2012,8. Matchday,2012-10-06,969,14171,2,3,16.0,17.0,René Girard,Pascal Dupraz,Stade de la Mosson,16701.0,Philippe Kalt,,,Montpellier HSC,Thonon Évian Grand Genève FC,2:3,domestic_league,-1
539,2223857,2012,5. Matchday,2012-09-16,273,1158,1,2,18.0,3.0,Frédéric Antonetti,Christian Gourcuff,Roazhon Park,20548.0,Mikael Lesage,,,Stade Rennais Football Club,Football Club Lorient-Bretagne Sud,1:2,domestic_league,-1
540,2223858,2012,8. Matchday,2012-10-07,244,583,2,2,1.0,2.0,Élie Baup,Carlo Ancelotti,Orange Vélodrome,40748.0,Tony Chapron,,,Olympique de Marseille,Paris Saint-Germain Football Club,2:2,domestic_league,0
541,2223859,2012,8. Matchday,2012-10-06,1082,1147,2,0,10.0,14.0,Rudi Garcia,Alex Dupont,Decathlon Arena-Stade Pierre-Mauroy,39375.0,Lionel Jaffredo,,,Lille Olympique Sporting Club,AC Ajaccio,2:0,domestic_league,1
542,2223860,2012,8. Matchday,2012-10-06,750,273,0,1,18.0,11.0,Eric Hély,Frédéric Antonetti,Stade Auguste-Bonal,13070.0,Benoît Millot,,,FC Sochaux-Montbéliard,Stade Rennais Football Club,0:1,domestic_league,-1
543,2223861,2012,7. Matchday,2012-09-30,1423,244,4,1,7.0,1.0,Daniel Sanchez,Élie Baup,Stade du Hainaut,22584.0,Bartolomeu Varela,,,Valenciennes FC,Olympique de Marseille,4:1,domestic_league,1
544,2223862,2012,8. Matchday,2012-10-05,618,1159,4,0,9.0,19.0,Christophe Galtier,Jean Fernandez,Stade Geoffroy-Guichard,19869.0,Sébastien Moreira,,,AS Saint-Étienne,AS Nancy-Lorraine,4:0,domestic_league,1
545,2223863,2012,8. Matchday,2012-10-06,595,1095,3,2,13.0,20.0,Frédéric Hantz,Jean-Marc Furlan,Stade Armand-Cesari,13326.0,Mikael Lesage,,,SC Bastia,ESTAC Troyes,3:2,domestic_league,1
546,2223864,2012,8. Matchday,2012-10-07,1158,1041,1,1,4.0,3.0,Christian Gourcuff,Rémi Garde,Stade du Moustoir,15090.0,Said Ennjimi,,,Football Club Lorient-Bretagne Sud,Olympique Lyonnais,1:1,domestic_league,0
547,2223865,2012,7. Matchday,2012-09-29,417,595,2,2,12.0,16.0,Claude Puel,Frédéric Hantz,Stade du Ray,9114.0,Alexandre Castro,,,Olympique Gymnaste Club Nice Côte d'Azur,SC Bastia,2:2,domestic_league,0
548,2223866,2012,7. Matchday,2012-09-28,273,1082,2,0,14.0,15.0,Frédéric Antonetti,Rudi Garcia,Roazhon Park,17111.0,Nicolas Rainville,,,Stade Rennais Football Club,Lille Olympique Sporting Club,2:0,domestic_league,1
549,2223867,2012,7. Matchday,2012-09-30,1041,40,0,2,3.0,5.0,Rémi Garde,Francis Gillot,Stade de Gerland,30881.0,Laurent Duhamel,,,Olympique Lyonnais,FC Girondins Bordeaux,0:2,domestic_league,-1
550,2223868,2012,7. Matchday,2012-09-29,1159,969,0,2,19.0,13.0,Jean Fernandez,René Girard,Stade Marcel-Picot,13867.0,Benoît Millot,,,AS Nancy-Lorraine,Montpellier HSC,0:2,domestic_league,-1
551,2223869,2012,7. Matchday,2012-09-29,583,750,2,0,2.0,17.0,Carlo Ancelotti,Eric Hély,Parc des Princes,44552.0,Wilfried Bien,,,Paris Saint-Germain Football Club,FC Sochaux-Montbéliard,2:0,domestic_league,1
552,2223870,2012,7. Matchday,2012-09-30,618,1421,0,0,11.0,8.0,Christophe Galtier,Hubert Fournier,Stade Geoffroy-Guichard,23996.0,Amaury Delerue,,,AS Saint-Étienne,Stade Reims,0:0,domestic_league,0
553,2223871,2012,7. Matchday,2012-09-29,1095,415,0,2,20.0,6.0,Jean-Marc Furlan,Alain Casanova,Stade de l'Aube,17087.0,Ruddy Buquet,,,ESTAC Troyes,Toulouse Football Club,0:2,domestic_league,-1
554,2223872,2012,7. Matchday,2012-09-29,14171,1158,1,1,18.0,4.0,Pascal Dupraz,Christian Gourcuff,Parc des Sports d’Annecy,8057.0,Benoît Bastien,,,Thonon Évian Grand Genève FC,Football Club Lorient-Bretagne Sud,1:1,domestic_league,0
555,2223873,2012,8. Matchday,2012-10-06,415,1423,2,2,7.0,8.0,Alain Casanova,Daniel Sanchez,Stadium Municipal,12512.0,Jean-Charles Cailleux,,,Toulouse Football Club,Valenciennes FC,2:2,domestic_league,0
556,2223874,2012,8. Matchday,2012-10-06,1421,417,3,1,5.0,15.0,Hubert Fournier,Claude Puel,Stade Auguste-Delaune,13367.0,Fredy Fautrel,,,Stade Reims,Olympique Gymnaste Club Nice Côte d'Azur,3:1,domestic_league,1
557,2223875,2012,8. Matchday,2012-10-07,3911,40,1,1,12.0,6.0,Landry Chauvin,Francis Gillot,Stade Francis-Le Blé,11158.0,Clément Turpin,,,Stade brestois 29,FC Girondins Bordeaux,1:1,domestic_league,0
558,2223876,2012,5. Matchday,2012-09-16,1159,244,0,1,17.0,1.0,Jean Fernandez,Élie Baup,Stade Marcel-Picot,18257.0,Philippe Kalt,,,AS Nancy-Lorraine,Olympique de Marseille,0:1,domestic_league,-1
559,2223877,2012,4. Matchday,2012-09-01,415,1421,1,1,5.0,14.0,Alain Casanova,Hubert Fournier,Stadium Municipal,12280.0,Benoît Millot,,,Toulouse Football Club,Stade Reims,1:1,domestic_league,0
560,2223878,2012,4. Matchday,2012-09-01,595,618,0,3,9.0,7.0,Frédéric Hantz,Christophe Galtier,Stade Armand-Cesari,15505.0,Bartolomeu Varela,,,SC Bastia,AS Saint-Étienne,0:3,domestic_league,-1
561,2223879,2012,4. Matchday,2012-09-01,3911,1095,2,1,10.0,19.0,Landry Chauvin,Jean-Marc Furlan,Stade Francis-Le Blé,11059.0,Amaury Delerue,,,Stade brestois 29,ESTAC Troyes,2:1,domestic_league,1
